assessment_id,course_id,title,total_marks
89,70708,Quiz 2,75
90,76889,Course Test,50
91,60260,Final Assessment,100
92,63345,Midterm Test,100
93,4864,Course Test,50
94,68718,Midterm Test,100
95,16544,Midterm Test,75
96,12501,Final Assessment,100
97,16743,Module Evaluation,100
98,9062,Course Test,75
99,42118,Final Assessment,75
100,42108,Module Evaluation,50
101,39463,Quiz 1,75
102,61258,Midterm Test,75
103,32237,Midterm Test,50
104,54577,Module Evaluation,50
105,3117,Module Evaluation,100
106,24826,Quiz 2,100
107,56110,Midterm Test,100
108,79644,Quiz 1,75
109,42866,Practice Test,100
110,58183,Course Test,50
111,29839,Quiz 1,100
112,46478,Midterm Test,50
113,16680,Module Evaluation,50
114,54301,Midterm Test,50
115,48097,Practice Test,75
116,3818,Final Assessment,75
117,75482,Quiz 1,100
118,71190,Quiz 2,75
119,62250,Course Test,75
120,4998,Quiz 1,50
121,34146,Course Test,75
122,40318,Practice Test,50
123,3913,Module Evaluation,100
124,73736,Module Evaluation,50
125,35162,Quiz 2,50
126,12234,Course Test,75
127,11809,Quiz 2,50
128,30068,Quiz 1,75
129,35166,Midterm Test,75
130,20178,Quiz 1,50
131,53558,Module Evaluation,100
132,62750,Midterm Test,50
133,55789,Quiz 2,75
134,73472,Final Assessment,75
135,60702,Course Test,75
136,72484,Practice Test,50
137,27417,Practice Test,100
138,23750,Midterm Test,50
139,38035,Practice Test,100
140,45867,Practice Test,100
141,74381,Course Test,100
142,69484,Midterm Test,50
143,7641,Quiz 1,75
144,64157,Course Test,100
145,53281,Final Assessment,100
146,68826,Quiz 1,100
147,9852,Final Assessment,100
148,65101,Final Assessment,50
149,30704,Practice Test,100
150,2691,Midterm Test,75
151,77431,Quiz 2,100
152,23937,Final Assessment,100
153,58593,Module Evaluation,75
154,42334,Practice Test,100
155,28482,Quiz 2,50
156,23279,Quiz 1,50
157,29494,Course Test,75
158,1960,Module Evaluation,100
159,39647,Quiz 2,50
160,51912,Module Evaluation,75
161,67963,Quiz 2,100
162,63250,Module Evaluation,100
163,34153,Quiz 1,50
164,64130,Quiz 2,50
165,12626,Quiz 1,75
166,39636,Quiz 2,100
167,41996,Midterm Test,75
168,46903,Final Assessment,100
169,60364,Final Assessment,100
170,36749,Quiz 1,50
171,43201,Quiz 1,100
172,52023,Course Test,50
173,58601,Module Evaluation,100
174,20951,Course Test,50
175,43856,Module Evaluation,100
176,52195,Practice Test,75
177,20726,Midterm Test,100
178,8585,Practice Test,75
179,57536,Final Assessment,50
180,21836,Quiz 1,100
181,12930,Quiz 1,50
182,2715,Quiz 1,50
183,37809,Quiz 1,75
184,29943,Midterm Test,50
185,16371,Quiz 2,75
186,8659,Final Assessment,75
187,4187,Final Assessment,100
188,17067,Quiz 2,50
189,59017,Quiz 2,50
190,50167,Quiz 2,50
191,26816,Module Evaluation,100
192,43138,Quiz 2,75
193,6732,Quiz 1,50
194,61207,Quiz 2,100
195,25227,Module Evaluation,100
196,27305,Final Assessment,75
197,35730,Midterm Test,75
198,12363,Practice Test,100
199,24378,Course Test,50
200,69250,Quiz 2,100
201,37791,Quiz 2,100
202,31354,Midterm Test,50
203,48483,Course Test,100
204,30637,Module Evaluation,50
205,16057,Quiz 2,75
206,63125,Practice Test,50
207,62908,Module Evaluation,50
208,51855,Quiz 2,50
209,60543,Quiz 1,50
210,52461,Practice Test,100
211,34337,Quiz 2,75
212,9199,Module Evaluation,100
213,65984,Quiz 1,100
214,60148,Quiz 1,100
215,54533,Quiz 1,50
216,76189,Practice Test,50
217,66263,Quiz 1,100
218,50241,Module Evaluation,75
219,29818,Course Test,75
220,15037,Quiz 1,50
221,29471,Course Test,50
222,76626,Final Assessment,75
223,7636,Final Assessment,100
224,59166,Module Evaluation,100
225,79564,Module Evaluation,75
226,63910,Final Assessment,50
227,39232,Quiz 2,50
228,29176,Quiz 2,75
229,19823,Quiz 2,100
230,64913,Quiz 1,100
231,37258,Midterm Test,50
232,25798,Module Evaluation,100
233,39556,Practice Test,75
234,32203,Module Evaluation,100
235,38420,Quiz 1,75
236,43486,Final Assessment,100
237,1923,Final Assessment,100
238,72789,Midterm Test,100
239,9496,Final Assessment,75
240,53714,Course Test,75
241,79245,Course Test,75
242,66117,Midterm Test,100
243,16086,Course Test,75
244,31479,Module Evaluation,100
245,71129,Quiz 2,75
246,67940,Quiz 2,50
247,44193,Quiz 1,75
248,53195,Course Test,75
249,34790,Quiz 2,50
250,6965,Module Evaluation,100
251,71341,Quiz 1,100
252,9733,Practice Test,75
253,47527,Module Evaluation,100
254,5585,Quiz 2,50
255,22135,Quiz 2,75
256,27133,Quiz 1,50
257,20881,Course Test,75
258,60450,Final Assessment,50
259,26458,Module Evaluation,75
260,19716,Quiz 1,50
261,69995,Final Assessment,75
262,14935,Module Evaluation,100
263,31128,Module Evaluation,100
264,3381,Quiz 1,100
265,54840,Quiz 1,50
266,59244,Module Evaluation,100
267,79026,Quiz 1,100
268,32412,Course Test,100
269,42908,Course Test,75
270,79950,Midterm Test,50
271,57699,Final Assessment,75
272,27391,Quiz 2,75
273,43749,Practice Test,50
274,34206,Practice Test,100
275,52905,Final Assessment,100
276,32895,Quiz 1,100
277,36729,Final Assessment,50
278,70997,Module Evaluation,50
279,11675,Final Assessment,75
280,12350,Quiz 1,75
281,6394,Module Evaluation,75
282,38532,Midterm Test,100
283,9235,Midterm Test,75
284,40010,Midterm Test,100
285,19003,Final Assessment,50
286,44499,Final Assessment,100
287,76147,Practice Test,50
288,19630,Practice Test,75
289,18050,Module Evaluation,75
290,71858,Quiz 1,50
291,17314,Quiz 2,100
292,77355,Midterm Test,100
293,2138,Course Test,75
294,79605,Quiz 1,75
295,2239,Module Evaluation,50
296,45608,Module Evaluation,100
297,42055,Midterm Test,100
298,21751,Module Evaluation,50
299,71332,Midterm Test,100
300,17239,Quiz 2,100
301,55243,Final Assessment,50
302,17455,Midterm Test,50
303,35980,Final Assessment,75
304,77047,Module Evaluation,75
305,24841,Final Assessment,50
306,48776,Quiz 2,75
307,6785,Quiz 1,75
308,19599,Course Test,75
309,41256,Course Test,75
310,48962,Course Test,75
311,71300,Module Evaluation,100
312,75374,Final Assessment,75
313,48332,Quiz 1,100
314,17244,Course Test,100
315,52633,Practice Test,100
316,74561,Final Assessment,100
317,10151,Course Test,100
318,2679,Final Assessment,100
319,37189,Midterm Test,75
320,9335,Course Test,100
321,642,Module Evaluation,50
322,40180,Midterm Test,75
323,62403,Midterm Test,75
324,28769,Module Evaluation,75
325,10956,Quiz 2,50
326,74658,Quiz 2,50
327,37807,Quiz 1,100
328,62859,Midterm Test,50
329,9729,Practice Test,50
330,35868,Final Assessment,50
331,49072,Final Assessment,50
332,15110,Module Evaluation,75
333,58433,Quiz 1,75
334,71032,Midterm Test,100
335,52756,Quiz 1,50
336,62021,Midterm Test,100
337,35494,Quiz 1,100
338,32339,Quiz 1,75
339,43169,Practice Test,50
340,79494,Module Evaluation,75
341,2173,Midterm Test,75
342,16539,Module Evaluation,100
343,60095,Course Test,75
344,2221,Course Test,75
345,7131,Module Evaluation,75
346,26631,Quiz 2,100
347,65870,Midterm Test,75
348,57590,Course Test,100
349,23158,Midterm Test,50
350,29124,Quiz 2,75
351,2911,Quiz 2,50
352,16176,Final Assessment,75
353,49952,Practice Test,75
354,17120,Final Assessment,100
355,25145,Midterm Test,75
356,44197,Course Test,50
357,54742,Module Evaluation,75
358,37616,Quiz 2,100
359,26731,Quiz 1,75
360,65094,Course Test,50
361,51625,Practice Test,50
362,54040,Module Evaluation,75
363,35467,Midterm Test,50
364,18912,Module Evaluation,75
365,62799,Quiz 1,50
366,5391,Practice Test,100
367,44839,Midterm Test,50
368,12805,Module Evaluation,50
369,76230,Quiz 2,100
370,57913,Midterm Test,100
371,76877,Quiz 2,75
372,11423,Course Test,100
373,60567,Final Assessment,75
374,41142,Module Evaluation,50
375,45312,Final Assessment,100
376,6739,Midterm Test,75
377,11172,Practice Test,75
378,18317,Quiz 2,100
379,49815,Practice Test,75
380,32133,Midterm Test,75
381,16936,Final Assessment,50
382,33887,Quiz 2,100
383,68574,Practice Test,50
384,45793,Quiz 1,50
385,57824,Module Evaluation,75
386,23159,Midterm Test,50
387,4875,Quiz 2,100
388,65199,Course Test,100
389,68546,Quiz 2,100
390,30433,Course Test,100
391,32291,Midterm Test,75
392,34960,Midterm Test,50
393,50176,Final Assessment,75
394,30320,Practice Test,100
395,35755,Course Test,75
396,48496,Course Test,100
397,3681,Quiz 2,75
398,58150,Quiz 2,100
399,13421,Final Assessment,50
400,50548,Midterm Test,75
401,50046,Midterm Test,75
402,58454,Practice Test,50
403,56338,Midterm Test,100
404,21780,Practice Test,75
405,69737,Midterm Test,50
406,25041,Module Evaluation,75
407,79922,Quiz 1,100
408,27860,Quiz 2,50
409,9281,Quiz 1,100
410,51109,Module Evaluation,50
411,65032,Quiz 1,50
412,28334,Course Test,75
413,1712,Course Test,75
414,4956,Quiz 2,75
415,63797,Final Assessment,75
416,30879,Final Assessment,75
417,8619,Midterm Test,50
418,31153,Quiz 2,75
419,3910,Quiz 2,75
420,32431,Midterm Test,50
421,5243,Practice Test,75
422,75262,Quiz 2,50
423,3680,Quiz 2,75
424,29497,Course Test,75
425,21475,Module Evaluation,50
426,68316,Final Assessment,50
427,75848,Course Test,75
428,30061,Course Test,100
429,74386,Course Test,75
430,4872,Quiz 1,50
431,8937,Course Test,100
432,18024,Course Test,75
433,38316,Quiz 1,50
434,58222,Course Test,100
435,15462,Quiz 2,100
436,68833,Module Evaluation,75
437,26292,Quiz 2,100
438,32304,Module Evaluation,50
439,69487,Module Evaluation,50
440,46667,Final Assessment,100
441,50821,Final Assessment,100
442,6189,Course Test,75
443,74965,Quiz 2,75
444,72234,Quiz 1,50
445,70896,Module Evaluation,100
446,15550,Final Assessment,50
447,66420,Midterm Test,100
448,40962,Final Assessment,100
449,56879,Final Assessment,100
450,68449,Module Evaluation,100
451,60450,Practice Test,50
452,40463,Final Assessment,50
453,67700,Practice Test,100
454,25793,Course Test,75
455,74338,Midterm Test,75
456,43899,Quiz 1,75
457,6167,Practice Test,50
458,15120,Practice Test,100
459,22324,Quiz 2,75
460,50831,Quiz 1,100
461,2266,Practice Test,50
462,41070,Final Assessment,75
463,25403,Course Test,50
464,12128,Course Test,100
465,68090,Midterm Test,75
466,19760,Course Test,100
467,74638,Course Test,75
468,44359,Module Evaluation,100
469,39854,Practice Test,75
470,19059,Final Assessment,50
471,22767,Final Assessment,100
472,6630,Quiz 1,75
473,38085,Midterm Test,75
474,47730,Quiz 2,50
475,9247,Course Test,75
476,39253,Midterm Test,75
477,34130,Quiz 1,50
478,35824,Final Assessment,75
479,38991,Course Test,75
480,66479,Module Evaluation,75
481,66234,Final Assessment,100
482,13439,Midterm Test,100
483,55642,Practice Test,100
484,47572,Midterm Test,75
485,1202,Midterm Test,75
486,75195,Practice Test,75
487,55945,Practice Test,75
488,9448,Module Evaluation,50
489,31521,Module Evaluation,75
490,4641,Final Assessment,100
491,24051,Quiz 1,75
492,10101,Module Evaluation,50
493,47308,Quiz 2,50
494,15238,Practice Test,100
495,38877,Quiz 1,50
496,39668,Final Assessment,100
497,30375,Module Evaluation,50
498,34434,Module Evaluation,100
499,75899,Practice Test,100
500,46605,Quiz 2,75
501,39663,Course Test,100
502,35955,Quiz 1,100
503,16904,Quiz 2,50
504,23588,Quiz 2,100
505,69331,Course Test,50
506,14764,Course Test,50
507,63726,Quiz 2,75
508,72259,Midterm Test,75
509,47667,Practice Test,75
510,62862,Module Evaluation,100
511,18320,Practice Test,50
512,1711,Module Evaluation,100
513,29692,Quiz 1,75
514,11900,Practice Test,75
515,69969,Quiz 1,50
516,9107,Practice Test,75
517,75065,Module Evaluation,100
518,36896,Final Assessment,75
519,76605,Module Evaluation,50
520,78810,Midterm Test,50
521,41739,Module Evaluation,100
522,59633,Final Assessment,50
523,60948,Module Evaluation,100
524,63556,Quiz 1,100
525,49409,Quiz 2,75
526,51233,Practice Test,50
527,65360,Practice Test,75
528,49723,Midterm Test,50
529,70778,Module Evaluation,75
530,67018,Practice Test,100
531,30112,Practice Test,50
532,52499,Practice Test,50
533,65528,Quiz 2,100
534,75419,Final Assessment,50
535,41711,Quiz 1,50
536,5402,Midterm Test,50
537,34481,Module Evaluation,100
538,1064,Quiz 1,100
539,78611,Midterm Test,50
540,61654,Final Assessment,75
541,58370,Quiz 2,100
542,13232,Midterm Test,50
543,34863,Final Assessment,75
544,1190,Quiz 1,100
545,30711,Module Evaluation,100
546,24620,Module Evaluation,100
547,6740,Quiz 2,100
548,73173,Final Assessment,75
549,44642,Quiz 1,100
550,28009,Quiz 1,50
551,52568,Quiz 1,50
552,44807,Quiz 1,50
553,70292,Practice Test,50
554,58914,Midterm Test,50
555,33226,Midterm Test,50
556,32255,Course Test,75
557,27440,Midterm Test,50
558,47240,Midterm Test,100
559,77707,Module Evaluation,100
560,17738,Course Test,50
561,22173,Final Assessment,100
562,71490,Quiz 1,100
563,26153,Final Assessment,50
564,71624,Course Test,50
565,51986,Module Evaluation,75
566,75644,Final Assessment,75
567,71054,Module Evaluation,50
568,39888,Quiz 1,100
569,55503,Module Evaluation,75
570,7652,Course Test,50
571,47845,Midterm Test,75
572,54905,Practice Test,100
573,14828,Quiz 2,75
574,77772,Quiz 1,100
575,64625,Course Test,75
576,45849,Quiz 2,75
577,22858,Quiz 1,100
578,2388,Module Evaluation,50
579,57774,Midterm Test,75
580,61111,Module Evaluation,100
581,62918,Course Test,75
582,19704,Practice Test,75
583,49031,Module Evaluation,75
584,69751,Midterm Test,100
585,63649,Quiz 2,75
586,56970,Practice Test,100
587,61459,Module Evaluation,75
588,78776,Course Test,50
589,17149,Course Test,75
590,66875,Quiz 2,100
591,62972,Module Evaluation,50
592,77092,Course Test,75
593,65196,Quiz 2,100
594,1494,Midterm Test,75
595,37177,Quiz 2,75
596,4174,Course Test,100
597,39672,Practice Test,75
598,70101,Quiz 1,100
599,414,Final Assessment,75
600,60017,Practice Test,75
601,268,Course Test,100
602,23821,Practice Test,50
603,64835,Midterm Test,50
604,63544,Practice Test,100
605,15751,Course Test,50
606,39325,Practice Test,100
607,47761,Course Test,100
608,61015,Quiz 2,75
609,74415,Midterm Test,100
610,67706,Final Assessment,75
611,12003,Practice Test,75
612,53527,Quiz 2,100
613,35809,Module Evaluation,50
614,16360,Course Test,50
615,10722,Final Assessment,50
616,64436,Practice Test,100
617,74375,Practice Test,75
618,40754,Practice Test,75
619,74341,Course Test,50
620,54403,Final Assessment,50
621,32625,Module Evaluation,75
622,1681,Practice Test,100
623,63983,Practice Test,50
624,5042,Quiz 2,75
625,3868,Quiz 2,75
626,4068,Module Evaluation,50
627,46755,Practice Test,75
628,46337,Midterm Test,75
629,7744,Midterm Test,100
630,32469,Quiz 1,75
631,3435,Course Test,100
632,58618,Quiz 2,75
633,74136,Module Evaluation,100
634,76049,Midterm Test,75
635,55011,Module Evaluation,100
636,50376,Midterm Test,100
637,52835,Course Test,50
638,60530,Midterm Test,100
639,77556,Module Evaluation,100
640,4714,Module Evaluation,75
641,5457,Course Test,50
642,67582,Course Test,50
643,1928,Quiz 1,100
644,16355,Final Assessment,75
645,41758,Course Test,75
646,5480,Quiz 1,100
647,10206,Quiz 2,75
648,38890,Quiz 1,75
649,49758,Practice Test,100
650,15146,Final Assessment,50
651,17649,Course Test,50
652,4841,Final Assessment,75
653,17616,Quiz 1,75
654,46385,Quiz 1,75
655,4548,Final Assessment,50
656,46843,Quiz 2,50
657,39824,Course Test,75
658,46100,Practice Test,100
659,48175,Quiz 1,75
660,33683,Final Assessment,75
661,68336,Quiz 2,75
662,39540,Practice Test,75
663,12536,Course Test,100
664,32748,Module Evaluation,75
665,36760,Course Test,50
666,10854,Midterm Test,50
667,63668,Course Test,50
668,5063,Module Evaluation,100
669,73655,Practice Test,100
670,76095,Quiz 1,50
671,27557,Module Evaluation,75
672,32213,Module Evaluation,75
673,69315,Final Assessment,50
674,8993,Final Assessment,50
675,18725,Module Evaluation,100
676,2905,Course Test,50
677,60047,Quiz 1,100
678,35880,Quiz 1,75
679,52305,Module Evaluation,50
680,31435,Course Test,100
681,50426,Module Evaluation,75
682,23304,Midterm Test,50
683,9445,Quiz 2,50
684,19876,Practice Test,75
685,7733,Course Test,50
686,59880,Quiz 1,100
687,1867,Final Assessment,100
688,44119,Quiz 2,50
689,69453,Module Evaluation,100
690,50246,Midterm Test,50
691,3370,Course Test,50
692,43927,Midterm Test,100
693,49304,Practice Test,100
694,57837,Module Evaluation,100
695,48785,Quiz 2,50
696,45820,Midterm Test,50
697,55821,Midterm Test,75
698,54458,Course Test,50
699,44284,Practice Test,50
700,23448,Quiz 1,50
701,67398,Final Assessment,50
702,55851,Module Evaluation,75
703,35251,Course Test,75
704,21540,Quiz 1,75
705,41283,Quiz 1,75
706,64420,Quiz 1,100
707,55024,Course Test,75
708,58136,Practice Test,100
709,77117,Practice Test,75
710,12851,Quiz 2,75
711,34977,Quiz 1,50
712,10173,Course Test,50
713,69263,Quiz 2,100
714,34374,Final Assessment,50
715,2977,Quiz 2,50
716,13657,Final Assessment,100
717,19375,Final Assessment,50
718,37098,Module Evaluation,75
719,64271,Midterm Test,100
720,41370,Quiz 2,50
721,46401,Quiz 1,75
722,10842,Practice Test,50
723,13989,Module Evaluation,75
724,43484,Practice Test,100
725,36595,Practice Test,75
726,69465,Quiz 1,100
727,66479,Module Evaluation,50
728,27248,Course Test,100
729,71732,Practice Test,50
730,55742,Midterm Test,100
731,26611,Quiz 2,100
732,3349,Final Assessment,50
733,26652,Final Assessment,100
734,26073,Quiz 1,100
735,50384,Course Test,100
736,34159,Course Test,50
737,46565,Practice Test,75
738,8664,Course Test,50
739,9292,Course Test,100
740,15972,Quiz 2,100
741,55114,Midterm Test,100
742,7528,Module Evaluation,50
743,66454,Practice Test,50
744,59499,Final Assessment,50
745,36940,Final Assessment,75
746,63477,Quiz 1,50
747,57603,Quiz 2,100
748,38608,Quiz 1,75
749,49641,Midterm Test,50
750,64191,Course Test,50
751,54340,Midterm Test,75
752,66203,Practice Test,75
753,61710,Quiz 2,50
754,66661,Quiz 2,50
755,33124,Midterm Test,50
756,1908,Module Evaluation,50
757,77297,Practice Test,100
758,70366,Final Assessment,50
759,2957,Course Test,50
760,33425,Module Evaluation,100
761,42971,Course Test,75
762,6998,Module Evaluation,100
763,52365,Midterm Test,100
764,54510,Quiz 2,50
765,154,Course Test,75
766,28267,Course Test,100
767,59576,Quiz 1,50
768,38093,Quiz 1,100
769,45125,Practice Test,75
770,71822,Quiz 1,50
771,1188,Module Evaluation,100
772,6828,Final Assessment,100
773,48942,Quiz 2,100
774,19958,Midterm Test,100
775,51308,Course Test,100
776,58075,Final Assessment,75
777,19815,Quiz 2,75
778,4640,Midterm Test,75
779,274,Module Evaluation,50
780,37,Midterm Test,100
781,68792,Quiz 1,50
782,14682,Midterm Test,50
783,13343,Module Evaluation,100
784,38056,Practice Test,50
785,48032,Midterm Test,75
786,9498,Course Test,100
787,77901,Module Evaluation,50
788,70647,Final Assessment,75
789,18500,Final Assessment,75
790,52681,Final Assessment,50
791,24059,Quiz 2,50
792,25802,Quiz 1,50
793,60982,Course Test,75
794,72439,Practice Test,100
795,1102,Practice Test,75
796,412,Module Evaluation,50
797,31537,Module Evaluation,75
798,13242,Quiz 1,75
799,18310,Midterm Test,50
800,25913,Practice Test,100
801,68133,Module Evaluation,75
802,49732,Quiz 1,75
803,66587,Course Test,100
804,34344,Practice Test,50
805,39783,Quiz 2,75
806,22673,Course Test,50
807,7841,Quiz 1,75
808,29516,Quiz 2,75
809,60174,Final Assessment,75
810,28245,Final Assessment,50
811,42980,Module Evaluation,100
812,30889,Practice Test,50
813,66226,Quiz 1,50
814,13167,Course Test,50
815,73135,Quiz 1,50
816,803,Midterm Test,50
817,42639,Quiz 2,100
818,19225,Midterm Test,50
819,73763,Practice Test,75
820,1189,Quiz 1,100
821,78059,Midterm Test,50
822,35910,Course Test,75
823,69344,Quiz 2,75
824,33186,Midterm Test,100
825,12542,Course Test,50
826,27623,Final Assessment,50
827,75290,Final Assessment,100
828,4124,Quiz 1,100
829,62507,Module Evaluation,50
830,76199,Quiz 2,100
831,77828,Module Evaluation,50
832,44544,Quiz 2,50
833,67106,Quiz 2,100
834,55908,Midterm Test,100
835,23957,Course Test,50
836,62182,Quiz 1,50
837,10321,Module Evaluation,100
838,70333,Module Evaluation,50
839,75302,Quiz 1,50
840,52572,Course Test,100
841,15984,Quiz 1,50
842,72534,Quiz 2,50
843,70150,Module Evaluation,100
844,38451,Course Test,100
845,71465,Midterm Test,75
846,33766,Module Evaluation,50
847,4168,Final Assessment,50
848,65753,Midterm Test,75
849,24088,Quiz 2,75
850,40250,Course Test,100
851,24003,Module Evaluation,50
852,18093,Practice Test,100
853,76638,Final Assessment,50
854,72901,Practice Test,100
855,77330,Final Assessment,100
856,33065,Course Test,100
857,14276,Midterm Test,100
858,14446,Module Evaluation,100
859,56497,Quiz 2,100
860,41877,Practice Test,50
861,10506,Course Test,75
862,64805,Midterm Test,50
863,3803,Final Assessment,75
864,22221,Course Test,75
865,22729,Midterm Test,50
866,25706,Course Test,75
867,18803,Final Assessment,100
868,60293,Practice Test,75
869,24470,Course Test,50
870,3469,Midterm Test,50
871,3444,Course Test,50
872,50557,Course Test,75
873,77179,Final Assessment,50
874,54644,Midterm Test,100
875,31333,Course Test,100
876,50771,Practice Test,50
877,24162,Module Evaluation,50
878,41784,Course Test,75
879,25986,Quiz 1,100
880,10461,Course Test,100
881,13555,Final Assessment,50
882,18787,Final Assessment,50
883,4514,Module Evaluation,75
884,31687,Quiz 2,50
885,45961,Midterm Test,75
886,34314,Quiz 1,75
887,68066,Final Assessment,75
888,74320,Quiz 2,100
889,3527,Midterm Test,100
890,20221,Final Assessment,100
891,21962,Practice Test,75
892,79572,Midterm Test,100
893,44578,Midterm Test,50
894,13122,Final Assessment,50
895,71081,Course Test,75
896,73274,Final Assessment,75
897,53533,Midterm Test,100
898,31138,Module Evaluation,75
899,41937,Practice Test,75
900,54643,Quiz 2,100
901,16443,Final Assessment,75
902,42512,Module Evaluation,50
903,41145,Practice Test,100
904,52885,Practice Test,100
905,58572,Quiz 1,75
906,33339,Quiz 2,75
907,45016,Midterm Test,100
908,62232,Practice Test,100
909,9043,Course Test,75
910,38044,Midterm Test,50
911,24959,Quiz 2,100
912,71184,Final Assessment,50
913,36715,Module Evaluation,50
914,65657,Midterm Test,75
915,71142,Final Assessment,50
916,38142,Quiz 1,100
917,30507,Quiz 2,100
918,4438,Course Test,100
919,55088,Module Evaluation,50
920,38792,Quiz 1,100
921,29009,Course Test,100
922,23496,Final Assessment,100
923,57068,Quiz 2,50
924,6183,Final Assessment,75
925,31534,Final Assessment,75
926,35760,Quiz 1,100
927,76469,Practice Test,50
928,35891,Quiz 2,75
929,60602,Course Test,50
930,76861,Course Test,100
931,31934,Quiz 1,50
932,70384,Module Evaluation,75
933,51692,Practice Test,50
934,66468,Midterm Test,100
935,68486,Practice Test,100
936,30104,Midterm Test,75
937,73641,Midterm Test,100
938,1564,Quiz 1,100
939,10211,Final Assessment,50
940,24033,Practice Test,50
941,51959,Final Assessment,75
942,32940,Quiz 2,50
943,7384,Practice Test,75
944,28608,Quiz 2,75
945,3198,Quiz 1,75
946,75895,Midterm Test,50
947,68326,Midterm Test,50
948,60030,Course Test,75
949,6604,Course Test,100
950,3552,Final Assessment,50
951,35643,Midterm Test,50
952,60489,Quiz 1,50
953,63919,Quiz 2,75
954,3367,Midterm Test,50
955,33780,Course Test,75
956,78051,Practice Test,75
957,9443,Course Test,100
958,7371,Quiz 1,75
959,76736,Course Test,50
960,55565,Quiz 2,75
961,61590,Module Evaluation,50
962,66547,Midterm Test,50
963,30382,Module Evaluation,75
964,22023,Practice Test,75
965,4098,Practice Test,100
966,42131,Midterm Test,50
967,74806,Course Test,100
968,24072,Practice Test,100
969,75738,Midterm Test,100
970,48161,Practice Test,75
971,20771,Course Test,100
972,64575,Quiz 2,50
973,40583,Final Assessment,50
974,76943,Module Evaluation,50
975,78306,Module Evaluation,50
976,59087,Midterm Test,100
977,19149,Final Assessment,100
978,8894,Module Evaluation,75
979,10961,Course Test,50
980,68908,Quiz 1,75
981,57797,Quiz 1,100
982,32224,Module Evaluation,50
983,30934,Quiz 1,75
984,13281,Midterm Test,50
985,64016,Practice Test,50
986,74810,Practice Test,100
987,12031,Quiz 2,75
988,49031,Quiz 1,75
989,24226,Quiz 2,75
990,69656,Quiz 2,100
991,78973,Module Evaluation,75
992,8407,Module Evaluation,75
993,62111,Midterm Test,100
994,71119,Course Test,100
995,74522,Practice Test,75
996,27610,Module Evaluation,75
997,67568,Module Evaluation,100
998,29944,Quiz 1,100
999,32588,Course Test,100
1000,2098,Final Assessment,50
1001,76650,Module Evaluation,100
1002,711,Final Assessment,100
1003,66653,Module Evaluation,75
1004,34516,Final Assessment,100
1005,22502,Course Test,100
1006,12040,Final Assessment,75
1007,32771,Midterm Test,100
1008,35819,Final Assessment,75
1009,26704,Module Evaluation,50
1010,62895,Module Evaluation,100
1011,6348,Midterm Test,75
1012,1422,Final Assessment,50
1013,37591,Midterm Test,50
1014,7868,Module Evaluation,75
1015,15065,Course Test,100
1016,19528,Quiz 1,100
1017,34030,Practice Test,100
